ID,Topic,Difficulty,Question,Option1,Correct1,Option2,Correct2,Option3,Correct3,Option4,Correct4
0,psychology,EASY,What is the study of behavior and mental processes?,Sociology,FALSE,Psychlogy,TRUE,Biology,FALSE,Anthropology,FALSE
1,psychology,EASY,Which part of the brain is primarily responsible for regulating emotions?,Cerebellum,FALSE,Occipital lobe,FALSE,Amygdala,TRUE,Frontal lobe,FALSE
2,psychology,EASY,What is the term for a stimulus that elicits a response after being paired with an unconditioned stimulus?,Reinforcer,FALSE,Unconditioned stimulus,FALSE,Conditioned stimulus,TRUE,Neutral stimulus,FALSE
3,psychology,EASY,Who is known as the father of psychoanalysis?,Abraham Maslow,FALSE,Carl Jung,FALSE,Sigmund Freud,TRUE,B.F. Skinner,FALSE
4,psychology,EASY,What is the main focus of cognitive psychology?,Social behavior,FALSE,Emotional responses,FALSE,Mental processes,TRUE,Developmental stages,FALSE
5,psychology,EASY,Which psychological approach emphasizes the role of the unconscious mind?,Cognitive,FALSE,Humanistic,FALSE,Behavioral,FALSE,Psychodynamic,TRUE
6,psychology,EASY,What is the name of the process by which we interpret sensory information?,Perception,TRUE,Sensation,FALSE,Attention,FALSE,Memory,FALSE
7,psychology,EASY,What is the term for the tendency to favor information that confirms existing beliefs?,Hindsight bias,FALSE,Availability heuristic,FALSE,Framing effect,FALSE,Confirmation bias,TRUE
8,psychology,EASY,What is the primary focus of behaviorism?,Emotional experiences,FALSE,Social interactions,FALSE, Observable behavior,TRUE,Mental processes,FALSE
9,psychology,EASY,Which type of therapy focuses on changing maladaptive thoughts?,Behavioral therapy,FALSE,Humanistic therapy,FALSE,Cognitive therapy,TRUE,Psychoanalytic therapy,FALSE
10,psychology,EASY,What is the term for the innate drive to achieve a goal?,Cognition,FALSE,Motivation,TRUE,Personality,FALSE,Emotion,FALSE
11,psychology,EASY,Who developed the hierarchy of needs?,Erik Erikson,FALSE,Carl Rogers,FALSE,Abraham Maslow,TRUE,Sigmund Freud,FALSE
12,psychology,EASY,What is the psychological term for the fight or flight response?,Defense mechanism,FALSE,Coping strategy,FALSE,Stress response,TRUE,Adaptive response,FALSE
13,psychology,EASY,Which area of psychology studies how people interact in groups?,Clinical psychology,FALSE,Social psychology,TRUE,Developmental psychology,FALSE,Cognitive psychology,FALSE
14,psychology,EASY,What type of memory involves the retention of information over time?,Working memory,FALSE,Long-term memory,TRUE,Sensory memory,FALSE,Short-term memory,FALSE
